Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"PLASTERS AND CEMENT MASONS 165 DIVISION STREET NORTH TONAWANDA, NY 14120",100.00,20-NOV-07,FRIENDS OF MIKE LOCURTO,2007 27 Post General,C,City Council,N/A
"PLASTERS AND CEMENT MASONS LOCAL 111 165 DIVISION NORTH TONAWANDA, NY 14120",198.00,28-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"PLASTERS AND CEMENT MASONS LOCAL 111 165 NORTH DIVISION STREET NORTH TONAWANDA, NY 14120",250.00,09-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,C,City Council,N/A
"PLASTERS AND CEMENT MASONS LOCAL NO. 111 165 DIVISION STREET N.TONAWNADS, NY 14120",297.00,01-JUN-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"PLASTERS AND CEMENT MASONS NO 111 165 DIVISION STREET NORTH TONOAWNDA, NY 14120",500.00,27-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
"PREMIER CONSULTING ASSOC. 1416 SWEET HOME AMHERST, NY 14228",250.00,30-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"PREMIER CONSULTING ASSOCIATES 2420 SWEETHOME RD AMHERST, NY 14228",150.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"PRENTISS LANDSCAPING AND SNOWPLOWING 15 FRONTENEC AVE BUFFALO, NY 14216",149.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"PROGRESSIVE PROCESSING 98 LOVERING BUFFALO, NY 14216",100.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"PROGRESSIVE PROCESSING SOLUTIONS 98 LOVERING AVENUE BUFFALO, NY 14216",100.00,07-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,B,City Council,N/A
"PROGRESSIVE PROCESSING SOLUTIONS 98 LOVERING BUFFALO, NY 14216",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,B,City Council,N/A
"RPAC OF NEW YORK STATE 130 WASHINGTON ALBANY, NY 12210",250.00,08-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"RUE FRANKLILN 341 FRANKLIN STREET BUFFALO, NY 14202",100.00,15-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,B,City Council,N/A
"SEIU 1199 OAC PO BOX 2612 NY, NY 10108","1,000.00",20-NOV-07,FRIENDS OF MIKE LOCURTO,2007 27 Post General,C,City Council,N/A
"SHEET METAL WORKERS LOCAL NO 71 24 LIBERTY AVENUE BUFFALO, NY 14215",200.00,05-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"SHEET METAL WORKERS NO. 71 25 LIBERTY AVENUE BUFFALO, NY 14215",149.00,28-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"SHEETMETAL WORKERS NO. 71 24 LIBERTY AVE BUFFALO, NY 14215",300.00,15-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"SICOLI & MASSARO INC. 8525 PORTER RD. NF, NY 14302",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"SINATRA'S RESTAURANT 938 KENMORE AVE BUFFALO, NY 14216",100.00,19-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"SOHO BAR AND GRILL 64 CHIPPEWS ST BUFFALO, NY 14203",200.00,19-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"STS CONSTRUCTION OF WNY 3586 CALIFORNIA ORCHARD PARK, NY 14127",250.00,09-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,B,City Council,N/A
"SURIANELLO GENERAL CONCRETE CONTRACTORS 635 WYOMING AVE BUFFALO, NY 14215",250.00,01-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"SWAN GROUP LTD 295 MAIN STREET BUFFALO, NY 14203",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,B,City Council,N/A
"SWEET HOME ASSOCIATEED 59 LYNBVROOK DRIVE TONAWANEDA, NY 14150",100.00,27-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,B,City Council,N/A
"SWEET HOME ASSOCIATES 59 LYNBROOK DRIVE TONAWANDS, NY 14150",100.00,24-APR-04,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"TOM GOLF INC. 5356 W. 91ST OAKLAWN, IL 60453",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"TOTAL COMMUNICATIONS 298 MAIN BUFFALO, NY 14202",200.00,15-JUL-11,FRIENDS OF MIKE LOCURTO,2011 32 Pre General,B,City Council,N/A
"UA PLUMBERS AND STEAMFITTERS 3651 CALIFORNIA ROAD ORCHARD PARK, NY 14217",500.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
"UA PLUMBERS AND STEAMFITTERS 3651 CALIFORNIA ORCHARD PARK, NY 14127",250.00,26-NOV-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,C,City Council,N/A
"UA PLUMBERS STEAMFITTERS LOCAL 22 PAC 3651 CALIFORNIA ROAD ORCHARD PARK, NY 14127",500.00,14-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"UNILAND PROP. MANAGEMENT CORP. 100 CORPORATE AMHERST, NY 14226",250.00,03-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"UNIT  ,",273.00,30-NOV-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,B,City Council,N/A
"UNIT  ,",188.00,30-NOV-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,C,City Council,N/A
"UNIT  ,",347.00,13-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
"UNIT  ,",223.00,11-JUL-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"UNIT  ,",298.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,B,City Council,N/A
"UNIT  ,",.00,25-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,C,City Council,N/A
"UNIT  ,",297.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"UNIT  ,",95.00,30-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"UNIT  ,",521.00,11-JUL-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"UNIT  ,",50.00,01-JUN-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,B,City Council,N/A
"UNITED CEMENT MASONS LOCAL 780 , NY",297.00,20-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"UNITED FOOD AND COMMERCIAL WORKERS 5911 AIRPORT ROAD ORISKANY, NY 13424",250.00,23-SEP-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,C,City Council,N/A
"UNITEMIZED  ,",198.00,26-NOV-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"UNITEMIZED  ,","1,487.00",24-JUN-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"UNITEMIZED  ,","1,386.00",30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"UNITEMIZED  ,",174.00,11-SEP-12,FRIENDS OF MIKE LOCURTO,2013 January Periodic,A,City Council,N/A
"UNITEMIZED  ,",100.00,17-MAR-14,FRIENDS OF MIKE LOCURTO,2014 July Periodic,A,City Council,N/A
"UNITEMIZED  ,",757.00,26-JUL-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,A,City Council,N/A
"UNITEMIZED  ,",274.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,C,City Council,N/A
"UNITEMIZED  ,",325.00,24-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,C,City Council,N/A
"UNITEMIZED  ,",539.00,19-JUL-12,FRIENDS OF MIKE LOCURTO,2013 January Periodic,A,City Council,N/A
"UNITEMIZED  ,","1,997.00",10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,A,City Council,N/A
"UNITEMIZED  ,","3,069.00",15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"UNITEMIZED  ,",180.00,12-JUL-12,FRIENDS OF MIKE LOCURTO,2013 January Periodic,A,City Council,N/A
"UNITEMIZED  ,","1,136.00",29-MAY-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,A,City Council,N/A
"UNITIMIZED  ,",175.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,B,City Council,N/A
"WNY STRATEGIES  ,",100.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"WNY UAW PAC COUNCIL REGION 9 35 GEORE KARL BVLD CHEEKTOWAGA, NY 14221",500.00,09-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"AGOSTINO, MICHAEL      64 HARVEST BUFFALO, NY 14216",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"AGRO, JOE       76 ARGONNE KENMORE, NY 14217",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"ANTKOWIAK, MATHEW      1217 CONISTUTION AVENUE WASHINGTON, DC 20002",250.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"ANTKOWIAK, MATTHEW      1217 CONSTITUTION WASHINGTON, DC 20002",100.00,02-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"ARNONE, JERRREY      140 LINDEN BUFFALO, NY 14214",149.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"BAGAROCIO, DEBRA      141 CRESTWOOD AVENUE BUFFALO, NY 14216",200.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"BAGAROZZO, JAMES     V 141 CRESTWOOD AVENUE BUFFALO, NY 14216",100.00,15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"BAGAROZZO, JAMES      141 CRESTWOOD BUFFALO, NY 14216",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"BAGAROZZO, JAMES      141 CRESTWOOD AVE. BUFFALO, NY 14216",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"BAILEY, ELIZABETH      63 ARGYLE PARK BUFFALO, NY 14222",350.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"BARNES, RICHARD      70 WILDWOOD TERRACE ORCHARD PARK, NY 14217","1,000.00",20-NOV-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,A,City Council,N/A
"BAXTER, GLORIA      3 MAYFAIR LAND BUFFALO, NY 14201",100.00,20-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"BENNETT, DIANNE      2 MAIRFAIR BUFFALO, NY 14201",250.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"BENNETT, DIANNE      2 MAYFAIR LANE BUFFALO, NY 14201",250.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"BENNETT, DIANNE      2 MAYFAIR BUFFALO, NY 14201",100.00,31-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"BENNETT, DIANNE      2 MAYFAIR BUFFALO, NY 14201",200.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"BINKO, RICHARD      2427 WILLIAM STREET BUFFALO, NY 14206",100.00,01-JUN-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"BINKO, RICHARD      2427 WILLIAM STREET BUFFALO, NY 14206",100.00,22-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"BIRCH, GARY      136 ORCHARD DRIVE BUFFALO, NY 14223",149.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"BONGIORNO, ANDREW      23 NORWALK AVENUE BUFFALO, NY 14216",200.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"CABRERA, CESAR      773 COLUMBUS BUFFALO, NY 14216",100.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"CALABRESE, DEBORAH      15 FOREST LAKE NORTH TONAWANDA, NY 14120",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"CAMPANELLA, MICHEAL      45 BUFFALO, NY 14216",100.00,26-JUL-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,A,City Council,N/A
"CHASE, ANTHONY      350 LINWOOD BUFFALO, NY 14209",200.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"CHASE, ANTHONY      350 LINWOOD BUFFALO, NY 14209",200.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"CHRISTIANO, MICHAEL      16 TILLINGHAST BUFFALO, NY 14216",200.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"CIURCZAK, DIANE      151 LANCASTER BUFFALO, NY 14222",100.00,27-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"CLARKSON, W.M.E.      156 BRYANT STREET BUFFALO, NY 14222",175.00,24-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"COBB, CHARLES      175 DORCHESTER AVENUE BUFFALO, NY 14213",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"COHEN, DAVID      688 DELEWARE AVENUE BUFFALO, NY 14209",200.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"CONANT, ELIZABETGH      661 DOWNING WILLIAMSVILLE, NY 14211",400.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"COONEY, SEAN      326 1/2 15TH BUFFALO, NY 14213",100.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"COONEY, SEAN      201 RICHMOND BUFFALO, NY 14222",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"CORNACCHIO, JENNIFER      534 WEST FERRY BUFFALO, NY 14222",200.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"COSGROVE, EDWARD      525 DELAWARE AVENUE BUFFALO, NY 14202",200.00,16-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"CRAPSI, PAUL      823 BIRD BUFFALO, NY 14209",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"CRAPSI, PAUL      823 BIRD AVENUE BUFFLAO, NY 14209",100.00,15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"CREIGHTON, CAHTY      47 WINDSOR AVENUE BUFFALO, NY 14209",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"CREIGHTON, CATHY      47 WINDSOR AVENUE BUFFALO, NY",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"CROCE, MARK       ,",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"DECARLO, JAMES      3898 SISSON HWY EDEN, NY 14057",200.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"DONOGHUE, PATRICK      42 BEARD BUFFALO, NY 14214",100.00,06-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"DUFFY, BRIAN      330 CRESCENT AVE BUFFALO, NY 14214",100.00,20-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"DUKE, JOHN      93 BRIDGEMAN BUFFALO, NY 14207",100.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"DUKE, JOHN      93 BRIDGEMAN BUFFALO, NY 14207",100.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"DUTTON, ELLEN DUTT      168 LOUVAINE DRIVE BUFFALO, NY 14223",100.00,30-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"EAGAN, JAMES      180 HIGHLAND BUFFALO, NY 14222",150.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"EAGAN, JAMES      137 WOODBRIDGE AVE BUFFALO, NY 14214",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"FADFORD, GAIL      185 ADMIRAL ROAD BUFFALO, NY 14216",250.00,01-AUG-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,A,City Council,N/A
"FERDMAN, MICHAEL      174 DEPEW BUFFALO, NY 14214",100.00,15-JUN-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"FERDMAN, MICHAEL      174 DEPEW AVENUE BUFFALO, NY 14214",250.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"FERDMAN, MICHAEL      174 DEPEW BUFFALO, NY 14214",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"FEROLETO, ANTHONY      54 MEADOWLAWN ROAD BUFFALO, NY 14225",200.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"FEROLETO, JOHN      1225 LIBERTY BLDG BUFFALO, NY 14202",500.00,10-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"FEROLETO, JOHN      438 MAIN BUFFALO, NY 14202",250.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"FISHER, JESSIE      467 LINWOOD AVE BUFFALO, NY 14209",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"FLEMING JR, POBERT      319 NORWOOD AVE BUFFALO, NY 14222",100.00,16-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"FLERON, LOU     J 49 SAGAMORE TERRACE BUFFALO, NY 14214",150.00,15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"FLERON, LOU JEAN      49 SAGAMORE TERRACE BUFFALO, NY 14214",100.00,01-AUG-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,A,City Council,N/A
"FLERON, LOU JEAN      49 SAGAMORE BUFFALO, NY 14214",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"FLERON, LOU JEAN      49 SAGAMORE TERRACE BUFFALO, NY 14214",250.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"FLERON, LOU JEAN      49 SQAGAMORE BUFFALO, NY 14214",250.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"FOSTER, KATHRYN      246 PARKER AVENUE BUFFALO, NY 14214",100.00,29-MAY-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,A,City Council,N/A
"FOSTER, KATHRYN      246 PARKER BUFFALO, NY 14214",150.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"FOSTER, KATHRYN      243 HUNTINGTRON AVENUE BUFFALO, NY 14214",250.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"FOSTER, KATHRYN      243 HUMTINGTON AVE BFLO, NY 14214",250.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,A,City Council,N/A
"FOSTER, KATHRYN      246 PARKER BUFFALO, NY 14214",250.00,06-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"FOSTER, KATHRYN      242 HUNTINGTON BUFFALO, NY 14214",600.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"FOSTER, KATHRYN      243 HUNTINGTON AVENUE BUFFALO, NY 14214",100.00,28-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"FOSTER, KATHRYN      246 PARKER BUFFALO, NY 14214",500.00,02-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"FOSTER, KATHRYN      243 HUNTINGTON BUFFALO, NY",100.00,01-JUN-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"FOSTER, KATHRYN      243 HUNTINGTON BUFFALO, NY 14214",200.00,26-JUL-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,A,City Council,N/A
"FOSTER, KATHRYN      243 HUNTINGTION AVE BUFFALO, NY 14214",250.00,13-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"FOSTER, KATHRYN      246 PARKER AVENUE BUFFALO, NY 14214",500.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"FOSTER, KATHRYNB      246 PARKER AVENUE BUFFALO, NB 14214",150.00,08-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"FRANCE, ANNA KAY      27 BRANTFORN PLACE BUFFALO, NY 14222",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"FRY, DONALD       BUFFALO, NY",100.00,14-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"GALLAGHER, KERRY      39 MAYEW DORCHESTER, NY 02125",100.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"GANE, GUY      2425 SWEET HOME ROAD AMHERST, NY 14228","1,250.00",25-SEP-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre General,A,City Council,N/A
"GERACI, JOHN      14 HILLSIDE PKWY LANCASTER, NY 14085",150.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"GHANDONI, GETULIO      610 MONROE AVE BUFFALO, NY 14223",100.00,17-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"GIAMBRA, RICHARD      1530 HERTEL AVE. BUFFALO, NY 14216",150.00,25-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"GIAMBRA, SUSAN      1530 HERTEL AVENUE BUFFALO, NY 14216",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"GOFF, A     M  31076 RIVIERA LANE WESTD LAKE, OH 44145",100.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,A,City Council,N/A
"GOFF, A.M.      31076 RIVERSIDE WESTLAKE, OH 44145",100.00,31-OCT-07,FRIENDS OF MIKE LOCURTO,2007 27 Post General,A,City Council,N/A
"GOFF, AM      31076 RIVERA WESTLAKE, OH 44145",100.00,03-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"GOFF, ANN     M 31076 RIVIERA WESTLAK, OH 44145",100.00,15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"GOLDMAN, MARK      398 JERSEY BUFFALO, NY 14213",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"GORINO, HENRY      2095 DELAWARE AVENUE BUFFALO, NY 14216",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"GRABINER, GENE VIRGI      359 PARKSIDE AVE BUFFALO, NY 14214",100.00,14-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"GRANGER, CARL       ,",200.00,21-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"GRECO, JA       ,",198.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"GRECO, JOE      76 ARGONNE BUFFALO, NY 14217",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"GRECO, JOSEPH      76 ARGONNE DR. KENMORE, NY 14217",149.00,21-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"GRECO, JOSEPH      76 AGRONNE KENMORE, NY 14217",149.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"GRIBBINS, JAMES      106 ST JAMES BUFFALO, NY 14222",200.00,21-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"GUYTON, GARY      88 SAWGRASS COURT HAMBURG, NY 14075",100.00,22-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"HAWRYLCZAK, DANIEL      1335 HERTEL BUFFALO, NY 14216",100.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"HEATH, RICHARD      1801 N. MILITARY TRAIL BOCA RATON, FL 33431",300.00,21-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"HOFFERT, MICHAEL      55 COBURG ST BUFFALO, NY 14216",150.00,15-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,A,City Council,N/A
"IHDE, REGAN      174 DEPEW AVE. BUFFALO, NY 14214",149.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"INSERA, MAXINE      74 WILLINGHAST BUFFALO, NY 14216",100.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"INSERA, MAXINE      74 WELLINGTON ROAD BUFFALO, NY 14216",100.00,01-AUG-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,A,City Council,N/A
"INSERA, MAXINE      74 WELLINGTON BUFFALO, NY 14216",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"INSERA, MAXINE      74 WELLINGTON BUFFALO, NY 14216",150.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
