Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"BUILDING & CONSTRUCTION TRADES COUNCIL OF BUFFALO 198 TIM TAM WEST SENECA, NY 14224",500.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,C,City Council,N/A
"BUILDING & CONSTRUCTION TRADES COUNCIL OF BUFFALO 198 TIM TAM WEST SENECA, NY 14224",500.00,27-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"BUILDING & CONSTRUCTION TRADES COUNCIL OF BUFFALO 198 TIM TAM TER. WEST SENECA, NY 14224",500.00,09-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"BUILDING AND CONSTRUCTION TRADES 198 TIM TAM WEST SENECA, NY 14224",500.00,19-JUL-12,FRIENDS OF MIKE LOCURTO,2013 January Periodic,C,City Council,N/A
"BUILDING AND CONSTRUCTION TRADES OF BUFFALO 198 TIM TAM TER WEST SENECA, NY 14224","1,000.00",01-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
"BURKE HOMES 5540 SOUTHWESTERN HAMBURG, NY 14075",250.00,31-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"CANTOR LUKASIK DOLCE 1600 MAIN PLACE TOWER BUFFALO, NY 14202",300.00,30-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"CANTOR, LUKASIK, DOLCE, PANEPINTO PC 1600 MAIN STREET BUFFALO, NY 14202",200.00,26-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"CAROLYN MAZZARA AGENCY 1201 COLONIAL BLVD BUFFALO, NY 14223",149.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"CAROLYN MAZZARA AGENCY IND 1201 COLVIN BLVD BUFFALO, NY 14223",50.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,B,City Council,N/A
"CHRISTOPHER CONSTRUTION 3407 DELEWARE AVE KENMORE, NY 14217",149.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"CICHOCKI AND CICHOCKI LLP 345 DCK ROAD DEPEW, NY 14043",99.00,15-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"CITIZENS FOR SAM HOYT 6225 SHERIDAN DRIVE WILLIAMSVILLE, NY 14221",149.00,27-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,C,City Council,N/A
"CITIZENS FOR SAM HOYT 6225 SHERIDAN DRIVE SUITE 206 WILLIAMSVILLE, NY 14221",250.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,C,City Council,N/A
"CITIZENS FOR SAM HOYT 6225 SHERIDAN DRIVE WILLIAMSVILLE, NY 14221",750.00,27-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"CITIZENS FOR SAM HOYT PO BOX 855 BUFFALO, NY 14205","1,000.00",30-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"CITIZENS FOR SAM HOYT 6225 SHERIDAN DRIVE WILLSAMSVILLE, NY 14221",500.00,24-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,C,City Council,N/A
"CITIZENS FOR SAM HOYT PO BOX 855 BUFFALO, NY 14205",250.00,17-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"CLINTON BROWN COMPANY ARCHITECTURE PC 617 MAIN BUFFALO, NY 14203",198.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,B,City Council,N/A
"COLLINS + MATWELL LLP 267 NORTH PEARL BUFFALO, NY 14201",200.00,24-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"COLONIAL CONSTRUCTION 77 MAIN STREET SALAMANCA, NY 14779",150.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"COMM TO ELET JAMES DILLON 5665 JUNO DRIVE LAKEVIEW, NY 14085",25.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"CREATIVE STRUCTURES 210 SUMMER BUFFALO, NY 14222",250.00,02-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
